Frequency (GHz),Material 1,Material 2,Material 3,Max Absorption (dB)
8000000000.0,11.0,5.0,7.0,-2.1548241292665695
8100000000.0,7.0,11.0,5.0,-1.6869546960292312
8200000000.0,7.0,11.0,5.0,-1.4719830091551147
8300000000.0,13.0,11.0,5.0,-1.3402480154529481
8400000000.0,13.0,11.0,5.0,-1.2452069930957352
8500000000.0,13.0,11.0,5.0,-1.1720951993213367
8600000000.0,13.0,11.0,5.0,-1.1137558949886557
8700000000.0,13.0,11.0,5.0,-1.0659196864823735
8800000000.0,13.0,11.0,5.0,-1.025859430868348
8900000000.0,13.0,11.0,5.0,-0.9917406448481602
9000000000.0,13.0,11.0,5.0,-0.96227815340288
9100000000.0,13.0,11.0,5.0,-0.9365415734613374
9200000000.0,13.0,11.0,5.0,-0.9138388686154543
9300000000.0,13.0,11.0,5.0,-0.893643431272376
9400000000.0,13.0,11.0,5.0,-0.8755466771558401
9500000000.0,13.0,11.0,5.0,-0.859226231598317
9600000000.0,8.0,11.0,5.0,-0.8446777570721115
9700000000.0,8.0,11.0,5.0,-0.8320107517328479
9800000000.0,8.0,11.0,5.0,-0.8204141975365113
9900000000.0,8.0,11.0,5.0,-0.8097538559290673
10000000000.0,8.0,11.0,5.0,-0.7999174670970816
10100000000.0,8.0,11.0,5.0,-0.7908103691608259
10200000000.0,8.0,11.0,5.0,-0.7823521349670295
10300000000.0,8.0,11.0,5.0,-0.7744739590334649
10400000000.0,8.0,11.0,5.0,-0.767116605063109
10500000000.0,8.0,11.0,5.0,-0.7602287775924421
10600000000.0,8.0,11.0,5.0,-0.7537658182191409
10700000000.0,8.0,11.0,5.0,-0.7476886528373898
10800000000.0,8.0,11.0,5.0,-0.7419629348718917
10900000000.0,8.0,11.0,5.0,-0.7365583429336736
11000000000.0,8.0,11.0,5.0,-0.7314480011570884
11100000000.0,2.0,11.0,5.0,-0.7267791298667725
11200000000.0,2.0,11.0,5.0,-0.7226726351841368
11300000000.0,2.0,11.0,5.0,-0.7187706903273577
11400000000.0,2.0,11.0,5.0,-0.7150580326805099
11500000000.0,2.0,11.0,5.0,-0.7115209060130814
11600000000.0,2.0,11.0,5.0,-0.7081468768987762
11700000000.0,2.0,11.0,5.0,-0.7049246775817872
11800000000.0,2.0,11.0,5.0,-0.7018440709192635
11900000000.0,2.0,11.0,5.0,-0.6988957338396249
12000000000.0,2.0,11.0,5.0,-0.6960711564015698
